13:49:10 INFO  manager.ApplicationManager - All tests starts in 'FireFox' browser
13:49:11 INFO  tests.TestBase - Starts test---> registrationNegativeMail
13:49:11 INFO  manager.MyListener - Start search element by locator-->By.xpath: //*[text()=' Logout ']
13:49:16 INFO  manager.MyListener - Element with locator-->By.xpath: //*[text()=' Logout '] was found
13:49:16 INFO  manager.MyListener - Start search element by locator-->By.xpath: //*[text()=' Sign up ']
13:49:16 INFO  manager.MyListener - Element with locator-->By.xpath: //*[text()=' Sign up '] was found
13:49:17 INFO  manager.MyListener - Start search element by locator-->By.xpath: //*[@id='name']
13:49:17 INFO  manager.MyListener - Element with locator-->By.xpath: //*[@id='name'] was found
13:49:17 INFO  manager.MyListener - Start search element by locator-->By.xpath: //*[@id='lastName']
13:49:17 INFO  manager.MyListener - Element with locator-->By.xpath: //*[@id='lastName'] was found
13:49:17 INFO  manager.MyListener - Start search element by locator-->By.cssSelector: div input#email
13:49:17 INFO  manager.MyListener - Element with locator-->By.cssSelector: div input#email was found
13:49:18 INFO  manager.MyListener - Start search element by locator-->By.cssSelector: div input#password
13:49:18 INFO  manager.MyListener - Element with locator-->By.cssSelector: div input#password was found
13:49:18 INFO  tests.TestBase - Registration with Email = dumgmail.com, and password = Zz12345$
13:49:18 INFO  manager.MyListener - Start search element by locator-->By.cssSelector: div input[type='checkbox']
13:49:18 INFO  manager.MyListener - Element with locator-->By.cssSelector: div input[type='checkbox'] was found
13:49:18 INFO  manager.MyListener - Start search element by locator-->By.xpath: //*[@class='checkbox-label terms-label']
13:49:18 INFO  manager.MyListener - Element with locator-->By.xpath: //*[@class='checkbox-label terms-label'] was found
13:49:18 INFO  manager.MyListener - Start search element by locator-->By.cssSelector: form button[type='submit']
13:49:18 INFO  manager.MyListener - Element with locator-->By.cssSelector: form button[type='submit'] was found
13:49:19 INFO  manager.MyListener - Start search element by locator-->By.xpath: //*[text()='Wrong email format']
13:49:19 INFO  manager.MyListener - Element with locator-->By.xpath: //*[text()='Wrong email format'] was found
13:49:19 INFO  tests.TestBase - Ends test---> registrationNegativeMail
13:49:19 INFO  tests.TestBase - Starts test---> registrationNegativeMail
13:49:19 INFO  manager.MyListener - Start search element by locator-->By.xpath: //*[text()=' Logout ']
13:49:24 INFO  manager.MyListener - Element with locator-->By.xpath: //*[text()=' Logout '] was found
13:49:24 INFO  manager.MyListener - Start search element by locator-->By.xpath: //*[text()=' Sign up ']
13:49:24 INFO  manager.MyListener - Element with locator-->By.xpath: //*[text()=' Sign up '] was found
13:49:24 INFO  manager.MyListener - Start search element by locator-->By.xpath: //*[@id='name']
13:49:24 INFO  manager.MyListener - Element with locator-->By.xpath: //*[@id='name'] was found
13:49:25 INFO  manager.MyListener - Start search element by locator-->By.xpath: //*[@id='lastName']
13:49:25 INFO  manager.MyListener - Element with locator-->By.xpath: //*[@id='lastName'] was found
13:49:25 INFO  manager.MyListener - Start search element by locator-->By.cssSelector: div input#email
13:49:25 INFO  manager.MyListener - Element with locator-->By.cssSelector: div input#email was found
13:49:25 INFO  manager.MyListener - Start search element by locator-->By.cssSelector: div input#password
13:49:25 INFO  manager.MyListener - Element with locator-->By.cssSelector: div input#password was found
13:49:25 INFO  tests.TestBase - Registration with Email = Dum@gmail.com, and password = Zz12345$
13:49:25 INFO  manager.MyListener - Start search element by locator-->By.cssSelector: div input[type='checkbox']
13:49:25 INFO  manager.MyListener - Element with locator-->By.cssSelector: div input[type='checkbox'] was found
13:49:25 INFO  manager.MyListener - Start search element by locator-->By.cssSelector: form button[type='submit']
13:49:25 INFO  manager.MyListener - Element with locator-->By.cssSelector: form button[type='submit'] was found
13:49:26 INFO  manager.MyListener - Start search element by locator-->By.xpath: //*[text()='Wrong email format']
13:49:26 INFO  manager.MyListener - Element with locator-->By.xpath: //*[text()='Wrong email format'] was found
13:49:26 INFO  tests.TestBase - Ends test---> registrationNegativeMail
13:49:26 INFO  tests.TestBase - Starts test---> registrationNegativeMail
13:49:26 INFO  manager.MyListener - Start search element by locator-->By.xpath: //*[text()=' Logout ']
13:49:31 INFO  manager.MyListener - Element with locator-->By.xpath: //*[text()=' Logout '] was found
13:49:31 INFO  manager.MyListener - Start search element by locator-->By.xpath: //*[text()=' Sign up ']
13:49:31 INFO  manager.MyListener - Element with locator-->By.xpath: //*[text()=' Sign up '] was found
13:49:31 INFO  manager.MyListener - Start search element by locator-->By.xpath: //*[@id='name']
